Sell trade executed @ BTCUSD @ 69351.29, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69352.31, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69352.31, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69349.18, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69349.18, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69346.84, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69346.84, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69351.97, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69351.97, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69353.65, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69360.09, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69360.09, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69352.9, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69313.05, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69313.05, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69313.05, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69314.1, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69314.1, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69348.05, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69349.58, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69349.58, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69348.75, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69348.75, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69348.75, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69348.54, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69348.54, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69346.37, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69354.01, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69356.54, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69358.93, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69358.93, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69415.48, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69424.49, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69424.49, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69435.26, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69435.26, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69427.07, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69419.75, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69419.75, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69419.75, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69418.45, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69497.89, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69497.89, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69497.89, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69502.26, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69488.12, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69488.12, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69488.12, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69485.39, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69477.19, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69473.81, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69473.81, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69476.46, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69476.46, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69476.46, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69478.12, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69478.12, next buy=nan, next sell=nan 
Sell trade executed @ XAUUSD @ 2232.72, next buy=nan, next sell=nan 
Sell trade executed @ BTCUSD @ 69479.0, next buy=nan, next sell=nan 
